Symbol,Date,Open,High,Low,Close,Volume
EURGBP,2017-09-02T23:00:00,9171.05,9178.1,9163.9,9163.7,10300
EURGBP,2017-09-03T23:00:00,9164.1,9227.5,9164.0,9201.5,267883
EURGBP,2017-09-04T23:00:00,9201.65,9214.3,9133.0,9140.7,381419
EURGBP,2017-09-05T23:00:00,9140.6,9165.1,9124.5,9140.1,351755
EURGBP,2017-09-06T23:00:00,9140.2,9204.1,9119.4,9176.5,425046
EURGBP,2017-09-07T23:00:00,9176.4,9204.0,9110.0,9122.25,398866
EURGBP,2017-09-09T23:00:00,9111.4,9123.0,9110.0,9110.9,7861
EURGBP,2017-09-10T23:00:00,9111.2,9123.1,9075.9,9079.3,283836
EURGBP,2017-09-11T23:00:00,9079.5,9084.0,8982.8,9003.25,343554
EURGBP,2017-09-12T23:00:00,9003.45,9039.7,8983.2,9000.3,328406
EURGBP,2017-09-13T23:00:00,9000.4,9051.6,8866.8,8893.9,397954
EURGBP,2017-09-14T23:00:00,8894.0,8902.1,8774.6,8791.15,384853
EURGBP,2017-09-16T23:00:00,8796.2,8808.4,8785.2,8793.4,8545
EURGBP,2017-09-17T23:00:00,8792.7,8863.6,8779.0,8848.0,323538
EURGBP,2017-09-18T23:00:00,8848.3,8900.1,8843.9,8876.6,353209
EURGBP,2017-09-19T23:00:00,8877.2,8889.1,8799.5,8804.3,382289
EURGBP,2017-09-20T23:00:00,8805.1,8834.9,8784.1,8797.2,344126
EURGBP,2017-09-21T23:00:00,8797.1,8887.1,8795.6,8853.55,350226
EURGBP,2017-09-23T23:00:00,8833.0,8841.3,8820.7,8828.6,10898
EURGBP,2017-09-24T23:00:00,8828.7,8833.0,8775.7,8794.6,359153
EURGBP,2017-09-25T23:00:00,8794.3,8801.0,8754.6,8763.75,331894
EURGBP,2017-09-26T23:00:00,8763.7,8800.9,8746.6,8766.2,357819
EURGBP,2017-09-27T23:00:00,8766.8,8810.7,8760.1,8768.8,335978
EURGBP,2017-09-28T23:00:00,8769.6,8842.6,8768.6,8817.7,313763
EURGBP,2017-09-30T23:00:00,8820.8,8830.7,8814.3,8816.2,11734
EURGBP,2017-10-01T23:00:00,8816.1,8869.1,8801.9,8840.45,274281
